Judge Name,In Minority Ratio,Total Rounds Judged,In Minority Count
Barry Luxenberg,0.20833333333333334,72,15
Munah Querido,0.13725490196078433,51,7
Howie Booth,0.13114754098360656,61,8
Albert Shen,0.13043478260869565,92,12
Burt Clements,0.125,72,9
Barry Foley,0.125,152,19
Jerin Valel,0.12272727272727273,220,27
Mike Williams,0.11594202898550725,69,8
Gabriel Sabaitis,0.11475409836065574,61,7
Nate Mann,0.1111111111111111,54,6
Gino Garcia,0.10909090909090909,55,6
Felicia Oh,0.10606060606060606,66,7
Don Turnage,0.1038961038961039,77,8
David Sutherland,0.10344827586206896,87,9
Todd Anderson,0.10294117647058823,68,7
Steve Weisfeld,0.1,60,6
Joseph Terrell,0.1,90,9
Charlie Keech,0.09815950920245399,163,16
Will Fisher,0.09523809523809523,63,6
Garth Harriman,0.09333333333333334,75,7
Barry Oglesby,0.09183673469387756,98,9
Bartlomiej Czajka,0.09183673469387756,98,9
Anthony Maness,0.09130434782608696,230,21
Adalaide Byrd,0.09117647058823529,680,62
Mark Craig,0.09090909090909091,55,5
Roy Silbert,0.09042553191489362,188,17
Lukasz Porebski,0.08741258741258741,286,25
Steve Armstrong,0.08695652173913043,69,6
Glenn Feldman,0.08571428571428572,70,6
Steven Graham,0.08571428571428572,140,12
Glenn Trowbridge,0.08433734939759036,581,49
Rick Winter,0.08359133126934984,323,27
Paul Sutherland,0.08333333333333333,300,25
Brandon Mason,0.08333333333333333,60,5
Evan Field,0.08196721311475409,183,15
Maciej Motylewski,0.08045977011494253,174,14
Dean Weir,0.07865168539325842,89,7
Guilherme Bravo,0.07835820895522388,268,21
Cardo Urso,0.078125,448,35
Marcos Rosales,0.07774390243902439,656,51
Andreas Grüner,0.07758620689655173,116,9
Dave Hagen,0.07746478873239436,568,44
Jeff Collins,0.07692307692307693,65,5
Benoit Roussel,0.07692307692307693,91,7
Michael Murtha,0.07692307692307693,117,9
Clemens Werner,0.07662835249042145,261,20
Dave Tirelli,0.0761789600967352,827,63
Lester Griffin,0.0759493670886076,237,18
Wade Vierra,0.0755813953488372,172,13
Derek Cleary,0.07453703703703704,2160,161
Jon Marigliano,0.07407407407407407,54,4
David Lethaby,0.07397069085833916,1433,106
Brian Puccillo,0.07373271889400922,217,16
Fabio Alves,0.07317073170731707,82,6
Mike Beltran,0.07291666666666667,96,7
Ben Cartlidge,0.0724391624221845,1767,128
Marco Aurelio Borges,0.07216494845360824,97,7
Jacob Montalvo,0.07172995780590717,237,17
Kon Papaioannou,0.0707070707070707,99,7
Takeo Kobayashi,0.07017543859649122,57,4
Brandon Saucedo,0.07017543859649122,57,4
Anders Ohlsson,0.06930693069306931,202,14
Douglas Crosby,0.06900212314225053,942,65
Eric Colón,0.06891600861450108,1393,96
Kevin Champion,0.06878306878306878,189,13
Mark Collett,0.06867469879518072,830,57
Troy Wincapaw,0.0684931506849315,146,10
Otto Torriero,0.06756756756756757,74,5
Marcel Varela,0.06735751295336788,193,13
Cezary Wojciechowski,0.06722689075630252,357,24
Chris Crail,0.06666666666666667,90,6
Chris Lee,0.06630434782608696,1840,122
Jon Hand,0.0658682634730539,167,11
David Therien,0.0658682634730539,167,11
Howard Hughes,0.0654911838790932,397,26
Dave Moretti,0.06547619047619048,168,11
Andy Roberts,0.06547619047619048,168,11
Andy Sledge,0.06521739130434782,184,12
Wez Brown,0.06504065040650407,123,8
Vito Paolillo,0.06486486486486487,185,12
Patricia Morse Jarman,0.06474820143884892,278,18
Sal D'Amato,0.06440572495332919,3214,207
Eliseo Rodriguez,0.06315789473684211,95,6
Greg DiVilbiss,0.0625,144,9
Lukasz Bosacki,0.06172839506172839,81,5
Jeff Mullen,0.061488673139158574,309,19
Richard Bertrand,0.06129032258064516,310,19
David Peabody,0.061224489795918366,196,12
Hallison Pontes,0.061224489795918366,98,6
David Ginsberg,0.06060606060606061,66,4
Filip Niemkowicz,0.06040268456375839,149,9
Bryan Miner,0.060085836909871244,699,42
Chris Leben,0.05952380952380952,84,5
Pawel Harasim,0.05952380952380952,84,5
Tony Weeks,0.05912863070539419,964,57
Junichiro Kamijo,0.059049079754601226,1304,77
Michael Bell,0.058402860548271755,1678,98
Gene LeBell,0.057692307692307696,52,3
Michael Tate,0.057692307692307696,52,3
Abe Belardo,0.05747126436781609,87,5
Dan Mathisen,0.056962025316455694,158,9
Anthony Dimitriou,0.05673758865248227,141,8
Susan Thomas-Gitlin,0.056338028169014086,71,4
Michael Lepicki,0.056179775280898875,89,5
Tony Tamburrino,0.05555555555555555,54,3
Jon Bilyk,0.05555555555555555,72,4
Robert Basinger,0.05555555555555555,54,3
Tim Corrado,0.05454545454545454,55,3
Eliot Kelly,0.05405405405405406,74,4
Szymon Bonkowski,0.05235602094240838,191,10
Nelson Hamilton,0.05228758169934641,153,8
Ron McCarthy,0.04838709677419355,806,39
Kelvin Caldwell,0.047058823529411764,85,4
Paul Barton,0.04145077720207254,193,8
Chris Watts,0.040983606557377046,122,5
Leszek Pawlega,0.039473684210526314,152,6
Rich Green,0.0392156862745098,51,2
Darryl Ransom,0.037209302325581395,430,16
Chris Flores,0.03676470588235294,136,5
John English,0.03508771929824561,57,2
Jeff Blatnick,0.03488372093023256,86,3
Mark Smith,0.03164556962025317,158,5
Dominic Carolei,0.030927835051546393,97,3
Henry Gueary,0.025210084033613446,119,3
Jackie Denkin,0.023809523809523808,84,2
Judge not found,0.022670025188916875,397,9
Cecil Peoples,0.01764705882352941,170,3
Hector Gomez,0.016129032258064516,62,1
Sue Sanidad,0.012345679012345678,81,1
Ross Swanberg,0.0,72,0
